"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,28,"BOL","Bolivia",1,"Chuquisaca","Departamento","Department",NA,NA
2,28,"BOL","Bolivia",2,"Cochabamba","Departamento","Department",NA,NA
3,28,"BOL","Bolivia",3,"El Beni","Departamento","Department",NA,NA
4,28,"BOL","Bolivia",4,"La Paz","Departamento","Department",NA,NA
5,28,"BOL","Bolivia",5,"Oruro","Departamento","Department",NA,NA
6,28,"BOL","Bolivia",6,"Pando","Departamento","Department",NA,"colonial territories|madre de dios|territorio nacional de colonias"
7,28,"BOL","Bolivia",7,"Potosí","Departamento","Department",NA,NA
8,28,"BOL","Bolivia",8,"Santa Cruz","Departamento","Department",NA,NA
9,28,"BOL","Bolivia",9,"Tarija","Departamento","Department",NA,NA
